"TOA5","10344","CR3000","10344","CR3000.Std.32.02","CPU:CR3000_6Sensors_4APR18.CR3","50113","FCRmet"
"TIMESTAMP","RECORD","BattV","PTemp_C","PAR_Den_Avg","PAR_Tot_Tot","BP_kPa_Avg","AirTC_Avg","RH","Rain_mm_Tot","WS_ms_Avg","WindDir","SR01Up_Avg","SR01Dn_Avg","IR01UpCo_Avg","IR01DnCo_Avg","NR01TK_Avg","Albedo_Avg"
"TS","RN","Volts","Deg C","umol/s/m^2","mmol/m^2","kPa","Deg C","%","mm","meters/second","degrees","W/m^2","W/m^2","W/m^2","W/m^2","K","W/m^2"
"","","Smp","Smp","Avg","Tot","Avg","Avg","Smp","Tot","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
2021-01-01 00:00:00,603675,12.74,10.380,   0.086,5.145155e-03,102.5, 7.739, 84.300,0.000,1.186,237.100,  -0.063,-0.532,363.1,356.2,283.5,  9.230
2021-01-01 01:00:00,603735,12.72, 9.480,   0.086,5.145160e-03,102.5, 6.285, 87.800,0.000,0.552,343.300,  -0.418,-0.397,359.7,356.0,282.6,  0.953
2021-01-01 02:00:00,603795,12.69, 8.270,   0.086,5.145242e-03,102.6, 5.324, 99.400,0.000,2.439,233.500,  -1.471, 0.205,353.0,353.6,281.4, -0.140
2021-01-01 03:00:00,603855,12.66, 7.086,   0.114,6.860359e-03,102.7, 4.409, 99.600,0.000,2.514,211.300,  -0.418,-0.129,349.1,350.1,280.2,  0.308
2021-01-01 04:00:00,603915,12.63, 6.283,   0.086,5.145359e-03,102.7, 3.349, 99.600,0.000,1.772,175.400,  -0.772,-0.030,345.1,348.5,279.4,  0.030
2021-01-01 05:00:00,603975,12.59, 5.292,   0.086,5.145420e-03,102.7, 2.560, 99.600,0.000,1.480,210.300,  -0.563, 0.142,340.4,346.4,278.4, -0.261
2021-01-01 06:00:00,604035,12.57, 4.490,   0.071,4.287946e-03,102.7, 1.696, 99.500,0.000,0.374,190.100,  -0.453, 0.417,336.6,345.1,277.6, -0.953
2021-01-01 07:00:00,604095,12.54, 3.769,   0.114,6.860742e-03,102.8, 1.424, 99.500,0.000,0.493,249.500,  -0.503, 0.903,333.3,342.5,276.9, -1.807
2021-01-01 08:00:00,604155,12.53, 3.607,   0.172,1.029114e-02,102.8, 1.665, 99.500,0.000,1.506,182.900,   3.535, 1.147,330.2,340.6,276.8,  0.325
2021-01-01 09:00:00,604215,12.55, 3.342,   0.143,8.575958e-03,102.8, 1.225, 97.200,0.000,0.167,277.100,  13.170, 2.216,328.0,341.5,276.5,  0.168
2021-01-01 10:00:00,604275,12.90, 3.324,   0.186,1.114878e-02,102.7, 1.242, 97.200,0.000,1.352,173.900,  31.850, 2.222,328.1,340.3,276.5,  0.070
2021-01-01 11:00:00,604335,12.88, 3.456,   0.121,7.289478e-03,102.7, 0.924, 99.300,0.000,0.562,324.400,  34.670, 2.877,328.8,342.3,276.6,  0.083
2021-01-01 12:00:00,604395,13.02, 3.070,   0.150,9.004792e-03,102.5, 0.779, 99.400,0.000,1.935,349.200,  58.920, 4.054,327.8,341.1,276.2,  0.069
2021-01-01 13:00:00,604455,13.03, 3.048,   0.164,9.862338e-03,102.4, 0.691, 99.400,0.000,1.374,236.300,  31.030, 2.371,326.9,340.9,276.2,  0.076
2021-01-01 14:00:00,604515,12.88, 3.046,   0.172,1.029126e-02,102.3, 0.940, 99.400,0.000,0.020,140.900,  23.850, 2.159,329.3,339.1,276.2,  0.091
2021-01-01 15:00:00,604575,12.75, 3.030,   0.136,8.147114e-03,102.2, 0.993, 99.400,0.000,1.191,  9.480,  24.030, 2.338,327.0,340.0,276.2,  0.097
2021-01-01 16:00:00,604635,12.62, 3.133,   0.107,6.432007e-03,102.2, 0.827, 99.500,0.000,1.468,172.400,   8.340, 1.012,328.4,340.3,276.3,  0.122
2021-01-01 17:00:00,604695,12.52, 3.154,   0.136,8.147162e-03,102.1, 0.973, 99.500,0.254,1.103,223.700,   0.854, 0.701,328.6,340.0,276.3,  0.825
2021-01-01 18:00:00,604755,12.49, 3.056,   0.172,1.029120e-02,102.1, 1.010, 99.500,0.254,0.000, 24.550,  -0.402, 0.949,329.2,340.3,276.2, -2.374
2021-01-01 19:00:00,604815,12.48, 3.117,   0.136,8.147198e-03,102.0, 1.230, 99.500,0.000,1.712,  3.391,   0.117, 0.770,333.1,340.1,276.3,  6.741
2021-01-01 20:00:00,604875,12.47, 3.450,   0.150,9.004666e-03,101.8, 1.682, 99.500,0.000,0.276,289.400,  -0.003, 0.724,336.8,340.1,276.6, -3.265
2021-01-01 21:00:00,604935,12.47, 3.665,   0.129,7.718220e-03,101.7, 1.626, 99.500,0.000,0.261,237.700,  -0.342, 0.552,331.3,340.2,276.8, -1.616
2021-01-01 22:00:00,604995,12.46, 3.524,   0.136,8.147013e-03,101.7, 1.187, 99.500,0.000,0.693,138.400,  -0.500, 0.397,331.6,340.3,276.7, -0.795
2021-01-01 23:00:00,605055,12.46, 3.733,   0.172,1.029093e-02,101.6, 1.872, 99.500,0.000,0.635,267.800,   0.108, 0.463,336.2,340.3,276.9,  4.485
